Trait,Category,Description,Synonym
Kind-hearted,Positive,Showing compassion and care for others,Compassionate
Brave,Positive,Willing to face danger or difficulty,Courageous
Modest,Positive,Humble and unassuming,Humble
Cheerful,Positive,Full of optimism and good spirits,Upbeat
Patient,Positive,Able to wait calmly without complaint,Tolerant
Confident,Positive,Self-assured and certain,Self-assured
Timid,Neutral,Shy and lacking confidence,Shy
Cautious,Neutral,Careful and avoiding risks,Careful
Ambitious,Neutral,Strongly desiring success,Driven
Stubborn,Negative,Unwilling to change opinion,Obstinate
Arrogant,Negative,Having excessive pride,Conceited
Lazy,Negative,Unwilling to work or use energy,Idle
Pessimistic,Negative,Tending to see the worst,Negative